Genus,Family,Order,HybProp,Hyb_Ratio,perc_per,perc_wood,perc_ag,floral_symm,mating_system,repro_syndrome,pollination_syndrome,RedList,Tm,C_value,CV_C_value
Abies,Pinaceae,Pinophyta,0.362318841,0.041666667,1.0,1.0,0.004761905,0.017857143,1.0,1.0,0.0,0.695652174,0.8674,17.23266667,9.085723529
Abronia,Nyctaginaceae,Caryophyllales,4.166666667,0.3125,0.6875,0.0,0.005063291,0.0,1.0,0.75,1.0,1.93,0.6471375,4.475517241,28.32153972
Abutilon,Malvaceae,Malvales,0.0,0.0,0.763157895,0.394736842,0.006153846,0.0,1.0,1.0,1.0,3.5,0.057,1.245,0.0
Acacia,Fabaceae,Fabales,0.208188758,0.136363636,1.0,1.0,0.096494845,0.0,1.0,0.916129032,1.0,1.5,0.807875,1.186321839,31.78010935
Acaena,Rosaceae,Rosales,8.888888889,0.4,1.0,0.0,0.001060071,0.0,0.54950495,0.5,0.995471014,2.0,0.754,0.33,52.69870481
Acalypha,Euphorbiaceae,Malpighiales,0.0,0.0,0.0,0.0,0.01239531,0.2,0.965517241,0.806451613,0.0,2.772727273,0.711666667,3.417045455,128.5075669
Acamptopappus,Asteraceae,Asterales,0.0,0.0,1.0,1.0,0.00210989,0.017857143,0.826621924,0.68329718,0.972615385,2.09,0.6471375,4.064583333,74.38814924
Acanthomintha,Lamiaceae,Lamiales,0.0,0.0,0.0,0.0,0.004320557,0.918604651,1.0,0.666666667,0.998407643,2.01,0.6708,1.197755102,82.29557184
Acanthopanax,Araliaceae,Apiales,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.5,1.0,2.2,0.6471375,2.5545,60.85136123
Acanthospermum,Asteraceae,Asterales,0.0,0.0,0.0,0.0,0.00210989,0.0,0.826621924,0.68329718,1.0,2.09,0.6471375,4.064583333,74.38814924
Acanthus,Acanthaceae,Lamiales,0.0,0.0,1.0,0.0,0.000857143,1.0,1.0,0.75,1.0,1.98,0.6471375,2.25,60.63309118
Acer,Sapindaceae,Sapindales,0.185013876,0.042553191,1.0,1.0,0.001265823,0.0,1.0,0.916666667,0.833333333,2.166666667,0.945,0.908181818,26.43476679
Achillea,Asteraceae,Asterales,0.790960452,0.233333333,1.0,0.0,0.00210989,0.0,1.0,0.5,1.0,2.09,0.6471375,4.137692308,51.15042164
Achlys,Berberidaceae,Ranunculales,0.0,0.0,1.0,0.0,0.0,0.017857143,1.0,0.833333333,1.0,2.0,0.6471375,2.11375,132.0725747
Achnatherum,Poaceae,Poales,2.857142857,0.2,1.0,0.0,0.074314214,0.967741935,0.958333333,0.724806202,0.093533487,1.73,0.360925926,5.530870827,74.38153976
Achyranthes,Amaranthaceae,Caryophyllales,0.0,0.0,0.916666667,0.5,0.041463415,0.0,1.0,0.986486486,0.548717949,3.25,0.199,1.222277228,57.33533842
Acianthus,Orchidaceae,Asparagales,0.0,0.0,1.0,0.0,0.0,0.985294118,0.963235294,0.764705882,1.0,2.79,0.4,7.564832714,120.3251337
Acinos,Lamiaceae,Lamiales,60.0,1.2,0.8,0.0,0.004320557,0.918604651,1.0,1.0,1.0,2.01,0.6708,1.197755102,82.29557184
Aciphylla,Apiaceae,Apiales,0.0,0.0,1.0,0.0,0.003968254,0.0,1.0,0.867346939,0.996575342,2.6,0.937666667,2.627731959,48.45406178
Aconitum,Ranunculaceae,Ranunculales,0.653594771,0.055555556,1.0,0.0,0.0,0.1,1.0,0.958333333,1.0,3.25,0.884,5.44,60.63309118
Acorus,Acoraceae,Acorales,0.0,0.0,1.0,0.0,0.0,0.017857143,1.0,0.0,1.0,2.09,0.6471375,0.525,33.67175149
Acrotriche,Ericaceae,Ericales,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.55,0.974226804,1.81,0.87925,0.753636364,28.06023211
Actaea,Ranunculaceae,Ranunculales,16.66666667,0.25,1.0,0.0,0.0,0.1,1.0,0.5,1.0,3.25,0.62825,10.8040273,60.63309118
Actinotus,Apiaceae,Apiales,0.0,0.0,0.5,0.0,0.003968254,0.0,1.0,0.867346939,0.996575342,2.6,0.937666667,2.627731959,48.45406178
Adenocarpus,Fabaceae,Fabales,0.0,0.0,1.0,1.0,0.096494845,1.0,1.0,0.916129032,0.999645641,2.1,0.626545455,0.875,4.040610178
Adenophora,Campanulaceae,Asterales,0.0,0.0,1.0,0.0,0.0,0.705882353,1.0,1.0,1.0,2.93,0.718333333,4.72,75.50487159
Adenophorus,Polypodiaceae,Monilophyta,6.666666667,0.3,1.0,0.0,0.0,0.017857143,1.0,0.5,1.0,2.11,0.6471375,14.15444444,27.11387166
Adenophyllum,Asteraceae,Asterales,0.0,0.0,1.0,1.0,0.00210989,0.017857143,0.826621924,0.68329718,0.972615385,2.09,0.6471375,4.064583333,74.38814924
Adenostoma,Rosaceae,Rosales,0.0,0.0,1.0,1.0,0.001060071,0.0,0.54950495,0.586142322,0.995471014,2.0,0.754,0.903866995,52.69870481
Adenostyles,Asteraceae,Asterales,33.33333333,0.333333333,1.0,0.0,0.00210989,0.017857143,1.0,0.5,1.0,2.09,0.6471375,4.064583333,74.38814924
Adiantum,Pteridaceae,Monilophyta,0.526315789,0.05,1.0,0.0,0.0,0.017857143,1.0,1.0,1.0,3.666666667,0.6471375,5.13,29.52077225
Adonis,Ranunculaceae,Ranunculales,2.222222222,0.1,0.6,0.0,0.0,0.1,1.0,0.875,1.0,3.25,0.62825,15.5,12.31734393
Adriana,Euphorbiaceae,Malpighiales,0.0,0.0,1.0,1.0,0.01239531,0.03030303,0.965517241,0.806451613,0.871571072,2.16,0.711666667,3.417045455,128.5075669
